director_name,actor_1_name,actor_2_name,actor_3_name,movie_title,genres,comb
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,avatar,Action Adventure Fantasy Sci-Fi,CCH Pounder Joel David Moore Wes Studi James Cameron avatar
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,pirates of the caribbean: at world's end,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski pirates of the caribbean: at world's end
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,spectre,Action Adventure Thriller,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes spectre
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,the dark knight rises,Action Thriller,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan the dark knight rises
Doug Walker,Doug Walker,Rob Walker,unknown,star wars: episode vii - the force awakens            ,Documentary,Doug Walker Rob Walker unknown Doug Walker star wars: episode vii - the force awakens            
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,john carter,Action Adventure Sci-Fi,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton john carter
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,tangled,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno tangled
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,avengers: age of ultron,Action Adventure Sci-Fi,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon avengers: age of ultron
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,harry potter and the half-blood prince,Adventure Family Fantasy Mystery,Alan Rickman Daniel Radcliffe Rupert Grint David Yates harry potter and the half-blood prince
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,batman v superman: dawn of justice,Action Adventure Sci-Fi,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder batman v superman: dawn of justice
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,superman returns,Action Adventure Sci-Fi,Kevin Spacey Marlon Brando Frank Langella Bryan Singer superman returns
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,quantum of solace,Action Adventure,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster quantum of solace
